"Gene"	"Project_ID"	"Counts"
"1"	"A16S|RequiresSNPConfirmation"	"T59"	15571
"2"	"AAC2-PRIME"	"T59"	296
"3"	"AAC3"	"T59"	3206
"4"	"AAC3-PRIME"	"T59"	0
"5"	"AAC6-PRIME"	"T59"	2823
"6"	"AAK"	"T59"	8
"7"	"ABAF"	"T59"	2
"8"	"ABAQ"	"T59"	0
"9"	"ABCA"	"T59"	14
"10"	"ABEM"	"T59"	0
"11"	"ABES"	"T59"	6
"12"	"ABUO"	"T59"	24
"13"	"ACC"	"T59"	106
"14"	"ACI"	"T59"	10
"15"	"ACN"	"T59"	2589
"16"	"ACR3"	"T59"	0
"17"	"ACRA"	"T59"	375
"18"	"ACRB"	"T59"	908
"19"	"ACRB|RequiresSNPConfirmation"	"T59"	138
"20"	"ACRC"	"T59"	372
"21"	"ACRD"	"T59"	1047
"22"	"ACRE"	"T59"	313
"23"	"ACRF"	"T59"	786
"24"	"ACRR|RequiresSNPConfirmation"	"T59"	115
"25"	"ACRS"	"T59"	117
"26"	"ACT"	"T59"	340
"27"	"ACTA"	"T59"	480
"28"	"ACTP"	"T59"	528
"29"	"ACTP1"	"T59"	588
"30"	"ACTPC"	"T59"	620
"31"	"ACTR"	"T59"	38
"32"	"ACTS"	"T59"	104
"33"	"ADC"	"T59"	156
"34"	"ADEA"	"T59"	0
"35"	"ADEB"	"T59"	12
"36"	"ADEC"	"T59"	2
"37"	"ADED"	"T59"	14
"38"	"ADEE"	"T59"	10
"39"	"ADEF"	"T59"	2
"40"	"ADEG"	"T59"	26
"41"	"ADEH"	"T59"	2
"42"	"ADEI"	"T59"	22
"43"	"ADEJ"	"T59"	22
"44"	"ADEK"	"T59"	38
"45"	"ADEL"	"T59"	2
"46"	"ADEN"	"T59"	0
"47"	"ADER"	"T59"	0
"48"	"ADES"	"T59"	0
"49"	"ADET1"	"T59"	0
"50"	"ADET2"	"T59"	2
"51"	"AER"	"T59"	16
"52"	"AFM"	"T59"	22
"53"	"AHPC|RequiresSNPConfirmation"	"T59"	10
"54"	"AIM"	"T59"	300
"55"	"AIOA"	"T59"	10
"56"	"AIOB"	"T59"	0
"57"	"AIOE"	"T59"	44
"58"	"AIOR"	"T59"	28
"59"	"AIOS"	"T59"	80
"60"	"AIOX"	"T59"	8
"61"	"ALG"	"T59"	96
"62"	"ALI"	"T59"	6
"63"	"ALMG"	"T59"	0
"64"	"ALR|RequiresSNPConfirmation"	"T59"	70
"65"	"ALU1P"	"T59"	2
"66"	"AMPC"	"T59"	143
"67"	"AMPCR|RequiresSNPConfirmation"	"T59"	56
"68"	"AMPH"	"T59"	452
"69"	"AMRA"	"T59"	518
"70"	"AMRB"	"T59"	1049
"71"	"AMVA"	"T59"	0
"72"	"ANA"	"T59"	114
"73"	"ANT2-DPRIME"	"T59"	26
"74"	"ANT3-DPRIME"	"T59"	426
"75"	"ANT4-PRIME"	"T59"	118
"76"	"ANT6"	"T59"	407
"77"	"ANT9"	"T59"	66
"78"	"APH2-DPRIME"	"T59"	128
"79"	"APH3-DPRIME"	"T59"	2144
"80"	"APH3-PRIME"	"T59"	874
"81"	"APH4"	"T59"	1187
"82"	"APH6"	"T59"	1541
"83"	"APH7-DPRIME"	"T59"	206
"84"	"APH9"	"T59"	254
"85"	"APMA"	"T59"	4
"86"	"AQU"	"T59"	84
"87"	"ARIR"	"T59"	3
"88"	"ARL"	"T59"	0
"89"	"ARLR"	"T59"	2
"90"	"ARLS"	"T59"	2
"91"	"ARMA"	"T59"	2
"92"	"ARMR"	"T59"	6
"93"	"ARNA"	"T59"	899
"94"	"ARNT"	"T59"	212
"95"	"ARR"	"T59"	46
"96"	"ARRA"	"T59"	28
"97"	"ARRB"	"T59"	0
"98"	"ARSA"	"T59"	145
"99"	"ARSB"	"T59"	73
"100"	"ARSBM"	"T59"	473
"101"	"ARSC"	"T59"	2
"102"	"ARSCM"	"T59"	150
"103"	"ARSD"	"T59"	0
"104"	"ARSDM"	"T59"	6
"105"	"ARSH"	"T59"	104
"106"	"ARSHN"	"T59"	0
"107"	"ARSM"	"T59"	270
"108"	"ARSP"	"T59"	4
"109"	"ARSR"	"T59"	97
"110"	"ARSRM"	"T59"	21
"111"	"ARST"	"T59"	668
"112"	"ASMA"	"T59"	522
"113"	"ASR"	"T59"	22
"114"	"AST"	"T59"	560
"115"	"AXC"	"T59"	138
"116"	"AXY"	"T59"	1310
"117"	"AXYZ|RequiresSNPConfirmation"	"T59"	94
"118"	"AZECL"	"T59"	4
"119"	"BACA"	"T59"	320
"120"	"BAER"	"T59"	288
"121"	"BAES"	"T59"	492
"122"	"BAHA"	"T59"	54
"123"	"BASRS"	"T59"	352
"124"	"BASRS|RequiresSNPConfirmation"	"T59"	88
"125"	"BAT"	"T59"	2
"126"	"BBI"	"T59"	26
"127"	"BC"	"T59"	0
"128"	"BCII"	"T59"	4
"129"	"BCL"	"T59"	70
"130"	"BCR"	"T59"	284
"131"	"BCR1"	"T59"	352
"132"	"BCRA"	"T59"	50
"133"	"BCRB"	"T59"	4
"134"	"BCRC"	"T59"	4
"135"	"BCRCM"	"T59"	16
"136"	"BEL"	"T59"	2
"137"	"BEPC"	"T59"	34
"138"	"BEPD"	"T59"	134
"139"	"BEPE"	"T59"	303
"140"	"BEPF"	"T59"	30
"141"	"BEPG"	"T59"	242
"142"	"BES"	"T59"	100
"143"	"BEXA"	"T59"	107
"144"	"BFRA"	"T59"	8
"145"	"BHSA"	"T59"	50
"146"	"BIC"	"T59"	2
"147"	"BIL"	"T59"	2
