"Gene"	"Project_ID"	"Counts"
"148"	"BJP1"	"T59"	331
"149"	"BKC"	"T59"	126
"150"	"BLA1"	"T59"	2
"151"	"BLA2"	"T59"	0
"152"	"BLAA"	"T59"	212
"153"	"BLAB"	"T59"	6
"154"	"BLAC"	"T59"	90
"155"	"BLACRP"	"T59"	118
"156"	"BLAE"	"T59"	124
"157"	"BLAEAM"	"T59"	20
"158"	"BLAEC"	"T59"	219
"159"	"BLAECM"	"T59"	64
"160"	"BLAF"	"T59"	106
"161"	"BLAI"	"T59"	0
"162"	"BLAL"	"T59"	492
"163"	"BLAP"	"T59"	2
"164"	"BLAPAM"	"T59"	272
"165"	"BLAPLA"	"T59"	8
"166"	"BLAR"	"T59"	16
"167"	"BLAS"	"T59"	24
"168"	"BLASGM"	"T59"	1394
"169"	"BLASME"	"T59"	12
"170"	"BLAZ"	"T59"	16
"171"	"BLE"	"T59"	210
"172"	"BLM"	"T59"	496
"173"	"BLT"	"T59"	10
"174"	"BLTD"	"T59"	4
"175"	"BLTR"	"T59"	0
"176"	"BMR"	"T59"	28
"177"	"BPU"	"T59"	0
"178"	"BRO"	"T59"	2
"179"	"BRP"	"T59"	2
"180"	"BSU"	"T59"	4
"181"	"BUT"	"T59"	92
"182"	"CADA"	"T59"	56
"183"	"CADC"	"T59"	0
"184"	"CADD"	"T59"	0
"185"	"CADR"	"T59"	12
"186"	"CADX"	"T59"	7
"187"	"CAM"	"T59"	14
"188"	"CAP16S|RequiresSNPConfirmation"	"T59"	1489
"189"	"CARA"	"T59"	965
"190"	"CARB"	"T59"	28
"191"	"CAT"	"T59"	290
"192"	"CATA"	"T59"	78
"193"	"CATB|RequiresSNPConfirmation"	"T59"	545
"194"	"CATP|RequiresSNPConfirmation"	"T59"	0
"195"	"CATS"	"T59"	0
"196"	"CATT"	"T59"	16
"197"	"CAU"	"T59"	160
"198"	"CBLA"	"T59"	8
"199"	"CBP"	"T59"	0
"200"	"CCRA"	"T59"	18
"201"	"CDEA"	"T59"	12
"202"	"CDSA|RequiresSNPConfirmation"	"T59"	8
"203"	"CEOA"	"T59"	552
"204"	"CEOB"	"T59"	1089
"205"	"CEPA"	"T59"	2
"206"	"CEPAB"	"T59"	170
"207"	"CEPH"	"T59"	52
"208"	"CEPS"	"T59"	40
"209"	"CEUE"	"T59"	0
"210"	"CFE"	"T59"	24
"211"	"CFIA"	"T59"	170
"212"	"CFR"	"T59"	163
"213"	"CFRA"	"T59"	18
"214"	"CFRB"	"T59"	10
"215"	"CFRC"	"T59"	0
"216"	"CFX"	"T59"	16
"217"	"CGA"	"T59"	4
"218"	"CGB"	"T59"	4
"219"	"CHAA"	"T59"	132
"220"	"CHR"	"T59"	39
"221"	"CHRA"	"T59"	230
"222"	"CHRB"	"T59"	16
"223"	"CHRB1"	"T59"	32
"224"	"CHRBM"	"T59"	36
"225"	"CHRC"	"T59"	23
"226"	"CHRE"	"T59"	2
"227"	"CHRF"	"T59"	14
"228"	"CHRI"	"T59"	0
"229"	"CHRR"	"T59"	2
"230"	"CIA"	"T59"	6
"231"	"CINA"	"T59"	34
"232"	"CIPA"	"T59"	0
"233"	"CKO"	"T59"	16
"234"	"CLBA"	"T59"	12
"235"	"CLBB"	"T59"	14
"236"	"CLBC"	"T59"	0
"237"	"CLBD"	"T59"	8
"238"	"CLS|RequiresSNPConfirmation"	"T59"	2
"239"	"CMA"	"T59"	44
"240"	"CME"	"T59"	14
"241"	"CMEA"	"T59"	0
"242"	"CMEB"	"T59"	8
"243"	"CMEC"	"T59"	2
"244"	"CMED"	"T59"	0
"245"	"CMEE"	"T59"	6
"246"	"CMEF"	"T59"	12
"247"	"CMER"	"T59"	0
"248"	"CMH"	"T59"	8
"249"	"CML"	"T59"	522
"250"	"CMLA"	"T59"	64
"251"	"CMLB"	"T59"	32
"252"	"CMLR"	"T59"	808
"253"	"CMLV"	"T59"	256
"254"	"CMR"	"T59"	82
"255"	"CMRA"	"T59"	306
"256"	"CMTR"	"T59"	2
"257"	"CMX"	"T59"	2737
"258"	"CMY"	"T59"	306
"259"	"CNRA"	"T59"	672
"260"	"CNRB"	"T59"	172
"261"	"CNRC"	"T59"	42
"262"	"CNRH"	"T59"	12
"263"	"CNRR"	"T59"	4
"264"	"CNRT"	"T59"	30
"265"	"CNRY"	"T59"	4
"266"	"COAR"	"T59"	4
"267"	"COMR"	"T59"	119
"268"	"COPA"	"T59"	1677
"269"	"COPAM"	"T59"	324
"270"	"COPB"	"T59"	528
"271"	"COPBM"	"T59"	0
"272"	"COPC"	"T59"	182
"273"	"COPD"	"T59"	286
"274"	"COPF"	"T59"	186
"275"	"COPG"	"T59"	138
"276"	"COPJ"	"T59"	0
"277"	"COPK"	"T59"	12
"278"	"COPL"	"T59"	20
"279"	"COPM"	"T59"	28
"280"	"COPP"	"T59"	0
"281"	"COPR"	"T59"	185
"282"	"COPS"	"T59"	110
"283"	"COPV"	"T59"	58
"284"	"COPY"	"T59"	4
"285"	"COPZ"	"T59"	0
"286"	"CORA"	"T59"	406
"287"	"CORB"	"T59"	178
"288"	"CORC"	"T59"	120
"289"	"CORD"	"T59"	103
"290"	"CORR"	"T59"	286
"291"	"CORS"	"T59"	226
"292"	"CORT"	"T59"	146
"293"	"CPAA"	"T59"	0
"294"	"CPHA"	"T59"	206
"295"	"CPRR"	"T59"	476
"296"	"CPRS"	"T59"	576
"297"	"CPS"	"T59"	54
"298"	"CPT"	"T59"	268
"299"	"CPXAR"	"T59"	1691
"300"	"CRCB"	"T59"	0
"301"	"CRD"	"T59"	166
"302"	"CRDA"	"T59"	6
"303"	"CRDB"	"T59"	0
"304"	"CRDR"	"T59"	0
"305"	"CRDS"	"T59"	0
"306"	"CRH"	"T59"	736
"307"	"CRP"	"T59"	170
"308"	"CRPP"	"T59"	0
"309"	"CSA"	"T59"	34
"310"	"CSOR"	"T59"	0
"311"	"CSP"	"T59"	14
"312"	"CTPC"	"T59"	588
"313"	"CTPD"	"T59"	450
"314"	"CTPG"	"T59"	732
"315"	"CTPV"	"T59"	1523
"316"	"CTX"	"T59"	1374
"317"	"CUEA"	"T59"	913
"318"	"CUEO"	"T59"	449
"319"	"CUEP"	"T59"	4
"320"	"CUER"	"T59"	123
"321"	"CUID"	"T59"	173
"322"	"CUSA"	"T59"	1016
"323"	"CUSB"	"T59"	397
"324"	"CUSC"	"T59"	380
"325"	"CUSF"	"T59"	21
"326"	"CUSR"	"T59"	236
"327"	"CUSS"	"T59"	389
"328"	"CUTA"	"T59"	50
"329"	"CUTC"	"T59"	105
"330"	"CUTE"	"T59"	412
"331"	"CUTF"	"T59"	202
"332"	"CUTO"	"T59"	218
"333"	"CUTR"	"T59"	4
"334"	"CVI"	"T59"	306
"335"	"CZCA"	"T59"	118
"336"	"CZCB"	"T59"	78
"337"	"CZCC"	"T59"	144
"338"	"CZCCM"	"T59"	28
"339"	"CZCD"	"T59"	90
"340"	"CZCE"	"T59"	16
"341"	"CZCP"	"T59"	799
"342"	"CZCR"	"T59"	66
"343"	"CZCS"	"T59"	21
"344"	"CZNA"	"T59"	4
"345"	"CZNB"	"T59"	0
"346"	"CZNC"	"T59"	8
"347"	"CZRA"	"T59"	1054
"348"	"CZRB"	"T59"	354
"349"	"DES"	"T59"	14
"350"	"DFRA"	"T59"	188
"351"	"DFRB"	"T59"	6
"352"	"DFRB|RequiresSNPConfirmation"	"T59"	4
"353"	"DFRC|RequiresSNPConfirmation"	"T59"	0
"354"	"DFRD"	"T59"	0
"355"	"DFRE"	"T59"	4
"356"	"DFRF"	"T59"	0
"357"	"DFRG"	"T59"	0
"358"	"DFRI"	"T59"	0
"359"	"DFRK"	"T59"	0
"360"	"DHA"	"T59"	192
"361"	"DHAP"	"T59"	0
"362"	"DHFR|RequiresSNPConfirmation"	"T59"	16
"363"	"DHFRIII|RequiresSNPConfirmation"	"T59"	24
"364"	"DHPS|RequiresSNPConfirmation"	"T59"	16
"365"	"DHT"	"T59"	192
"366"	"DIM"	"T59"	0
"367"	"DMEF"	"T59"	615
"368"	"DMER"	"T59"	72
"369"	"DNAK"	"T59"	2591
"370"	"DPR"	"T59"	2
"371"	"DPSA"	"T59"	16
"372"	"DRRA"	"T59"	564
"373"	"DSBA"	"T59"	120
"374"	"DSBB"	"T59"	164
"375"	"DSBC"	"T59"	131
"376"	"EATAV|RequiresSNPConfirmation"	"T59"	26
"377"	"EBR"	"T59"	0
"378"	"EBRA"	"T59"	2
"379"	"EBRB"	"T59"	0
"380"	"ECV"	"T59"	4
"381"	"EDEQ"	"T59"	0
"382"	"EEFA"	"T59"	201
"383"	"EEFX"	"T59"	9
"384"	"EFM"	"T59"	192
"385"	"EFMA"	"T59"	0
"386"	"EFPA"	"T59"	182
"387"	"EFRA"	"T59"	19
"388"	"EFRB"	"T59"	2
"389"	"EIS|RequiresSNPConfirmation"	"T59"	74
"390"	"ELM"	"T59"	8
"391"	"EMBA|RequiresSNPConfirmation"	"T59"	592
"392"	"EMBB|RequiresSNPConfirmation"	"T59"	294
"393"	"EMBC|RequiresSNPConfirmation"	"T59"	608
"394"	"EMBR|RequiresSNPConfirmation"	"T59"	60
"395"	"EMEA"	"T59"	4
"396"	"EMHA"	"T59"	90
"397"	"EMHB"	"T59"	234
"398"	"EMHC"	"T59"	235
"399"	"EMHR"	"T59"	24
"400"	"EMMDR"	"T59"	65
"401"	"EMRA"	"T59"	400
"402"	"EMRASM"	"T59"	142
"403"	"EMRB"	"T59"	388
"404"	"EMRBSM"	"T59"	348
"405"	"EMRCSM"	"T59"	426
"406"	"EMRD"	"T59"	495
"407"	"EMRE"	"T59"	136
"408"	"EMRK"	"T59"	214
"409"	"EMRR"	"T59"	77
"410"	"EMRRSM"	"T59"	112
"411"	"EMRY"	"T59"	90
"412"	"EMTA"	"T59"	0
"413"	"EPTA"	"T59"	264
"414"	"EPTB"	"T59"	450
"415"	"EREA"	"T59"	8
"416"	"EREB"	"T59"	40
"417"	"ERED"	"T59"	0
"418"	"ERM"	"T59"	1682
"419"	"ERM30"	"T59"	52
"420"	"ERM32"	"T59"	256
"421"	"ERM37"	"T59"	6
"422"	"ERM41"	"T59"	2
"423"	"ERM42"	"T59"	8
"424"	"ERM44"	"T59"	0
"425"	"ERM50"	"T59"	15
"426"	"ERM51"	"T59"	24
"427"	"ERM52"	"T59"	2
"428"	"ERMA"	"T59"	2
"429"	"ERMB"	"T59"	25
"430"	"ERMC"	"T59"	22
"431"	"ERMD"	"T59"	0
"432"	"ERME"	"T59"	266
"433"	"ERMF"	"T59"	23
"434"	"ERMG"	"T59"	7
"435"	"ERMH"	"T59"	138
"436"	"ERMN"	"T59"	54
"437"	"ERMO"	"T59"	152
"438"	"ERMQ"	"T59"	10
"439"	"ERMR"	"T59"	582
"440"	"ERMS"	"T59"	442
"441"	"ERMT"	"T59"	0
"442"	"ERMU"	"T59"	14
"443"	"ERMV"	"T59"	262
"444"	"ERMX"	"T59"	70
"445"	"ERP"	"T59"	90
"446"	"ESP"	"T59"	0
"447"	"ESTD"	"T59"	224
"448"	"ETHA|RequiresSNPConfirmation"	"T59"	80
"449"	"ETHR|RequiresSNPConfirmation"	"T59"	206
"450"	"EVGA"	"T59"	43
"451"	"EVGS"	"T59"	307
"452"	"EVM"	"T59"	16
"453"	"EXO"	"T59"	106
"454"	"FABG|RequiresSNPConfirmation"	"T59"	222
"455"	"FABI"	"T59"	229
"456"	"FABK"	"T59"	6
"457"	"FABL"	"T59"	4
"458"	"FABV"	"T59"	16
"459"	"FACT"	"T59"	616
"460"	"FAR1"	"T59"	620
"461"	"FARA"	"T59"	92
"462"	"FARB"	"T59"	44
"463"	"FARR"	"T59"	12
"464"	"FBPA"	"T59"	2
"465"	"FBPB"	"T59"	8
"466"	"FBPC"	"T59"	6
"467"	"FECD"	"T59"	104
"468"	"FECE"	"T59"	470
"469"	"FETA"	"T59"	137
"470"	"FETB"	"T59"	203
"471"	"FEXA"	"T59"	0
"472"	"FEXB"	"T59"	4
"473"	"FEZ"	"T59"	0
"474"	"FIA"	"T59"	224
"475"	"FIEF"	"T59"	256
"476"	"FIM"	"T59"	2
"477"	"FLOR"	"T59"	98
"478"	"FMRO"	"T59"	316
"479"	"FOLC|RequiresSNPConfirmation"	"T59"	406
"480"	"FOLP|RequiresSNPConfirmation"	"T59"	2119
"481"	"FOMA"	"T59"	214
"482"	"FOMB"	"T59"	150
"483"	"FONA"	"T59"	34
"484"	"FORMA"	"T59"	53
"485"	"FOSA"	"T59"	466
"486"	"FOSB"	"T59"	14
"487"	"FOSC"	"T59"	0
"488"	"FOSD"	"T59"	44
"489"	"FOSE"	"T59"	18
"490"	"FOSF"	"T59"	0
"491"	"FOSG"	"T59"	2
"492"	"FOSK"	"T59"	0
"493"	"FOSL"	"T59"	0
"494"	"FOSM"	"T59"	8
"495"	"FOSU"	"T59"	0
"496"	"FOSX"	"T59"	196
"497"	"FOSY"	"T59"	0
"498"	"FOX"	"T59"	60
"499"	"FPH"	"T59"	0
"500"	"FPTA"	"T59"	192
"501"	"FPVA"	"T59"	210
"502"	"FRI"	"T59"	6
"503"	"FRNE"	"T59"	84
"504"	"FTU"	"T59"	0
"505"	"FURA"	"T59"	2
"506"	"FUSA|RequiresSNPConfirmation"	"T59"	223
"507"	"FUSB"	"T59"	0
"508"	"FUSC"	"T59"	0
"509"	"FUSD"	"T59"	24
"510"	"FUSE|RequiresSNPConfirmation"	"T59"	12
"511"	"FUSF"	"T59"	2
"512"	"FUSH"	"T59"	520
"513"	"FXRA|RequiresSNPConfirmation"	"T59"	0
"514"	"G2ALT"	"T59"	2
"515"	"GADA"	"T59"	508
"516"	"GADB"	"T59"	333
"517"	"GADC"	"T59"	122
"518"	"GADE"	"T59"	22
"519"	"GADW"	"T59"	89
"520"	"GADX"	"T59"	95
"521"	"GALE"	"T59"	4
"522"	"GAR"	"T59"	0
"523"	"GES"	"T59"	256
"524"	"GESA"	"T59"	62
"525"	"GESB"	"T59"	158
"526"	"GESC"	"T59"	82
"527"	"GIDB|RequiresSNPConfirmation"	"T59"	0
"528"	"GIL"	"T59"	28
"529"	"GIM"	"T59"	0
"530"	"GIMA"	"T59"	490
"531"	"GLPF"	"T59"	219
"532"	"GLPT|RequiresSNPConfirmation"	"T59"	349
"533"	"GOB"	"T59"	14
"534"	"GOLS"	"T59"	12
"535"	"GOLT"	"T59"	96
"536"	"GPC"	"T59"	96
"537"	"GRD"	"T59"	136
"538"	"GRDA"	"T59"	0
"539"	"GRLA|RequiresSNPConfirmation"	"T59"	2
"540"	"GRLB|RequiresSNPConfirmation"	"T59"	8
"541"	"GRM"	"T59"	630
"542"	"GSHF|RequiresSNPConfirmation"	"T59"	29
"543"	"GYRA|RequiresSNPConfirmation"	"T59"	12430
"544"	"GYRB|RequiresSNPConfirmation"	"T59"	1724
"545"	"GYRBA|RequiresSNPConfirmation"	"T59"	4296
"546"	"GYRBZ|RequiresSNPConfirmation"	"T59"	695
"547"	"GYRC|RequiresSNPConfirmation"	"T59"	18
"548"	"HASF"	"T59"	202
"549"	"HDEA"	"T59"	18
"550"	"HDEB"	"T59"	49
"551"	"HEFA"	"T59"	6
"552"	"HEFC"	"T59"	16
"553"	"HERA"	"T59"	30
"554"	"HLYD"	"T59"	110
"555"	"HMB"	"T59"	20
"556"	"HMRM"	"T59"	4
"557"	"HMRR"	"T59"	2
"558"	"HNS"	"T59"	41
"559"	"HOXN"	"T59"	14
"560"	"HP"	"T59"	32
"561"	"HPCOPA"	"T59"	8
"562"	"HPCOPP"	"T59"	0
"563"	"HSMR"	"T59"	108
"564"	"HUGA"	"T59"	0
"565"	"HUPE"	"T59"	102
"566"	"HUPN"	"T59"	162
"567"	"IBCR"	"T59"	0
"568"	"IBPA"	"T59"	149
"569"	"IBPB"	"T59"	144
"570"	"ICLR"	"T59"	307
"571"	"ICR"	"T59"	40
"572"	"IDC"	"T59"	250
"573"	"IDER"	"T59"	112
"574"	"IDSA|RequiresSNPConfirmation"	"T59"	28
"575"	"ILES"	"T59"	1821
"576"	"ILES|RequiresSNPConfirmation"	"T59"	71
"577"	"IMI"	"T59"	12
"578"	"IMP"	"T59"	28
"579"	"IND"	"T59"	110
"580"	"INHA|RequiresSNPConfirmation"	"T59"	148
"581"	"INIA|RequiresSNPConfirmation"	"T59"	268
"582"	"INIB|RequiresSNPConfirmation"	"T59"	132
"583"	"INIC|RequiresSNPConfirmation"	"T59"	118
"584"	"IRFA"	"T59"	232
"585"	"IRI"	"T59"	149
"586"	"IRLR"	"T59"	319
"587"	"IRLS"	"T59"	412
"588"	"JOHN"	"T59"	0
"589"	"KAMB"	"T59"	550
"590"	"KASA|RequiresSNPConfirmation"	"T59"	110
"591"	"KATG|RequiresSNPConfirmation"	"T59"	403
"592"	"KDEA"	"T59"	166
"593"	"KDPE"	"T59"	235
"594"	"KEXD"	"T59"	70
"595"	"KGMB"	"T59"	164
"596"	"KHM"	"T59"	38
"597"	"KLAB"	"T59"	128
"598"	"KLAC"	"T59"	74
"599"	"KLUC"	"T59"	6
"600"	"KMR"	"T59"	108
"601"	"KMRA"	"T59"	454
"602"	"KMTR"	"T59"	6
"603"	"KPC"	"T59"	208
"604"	"KPN"	"T59"	316
"605"	"KPNE"	"T59"	3
"606"	"KPNF"	"T59"	19
"607"	"KPNO"	"T59"	91
"608"	"L1"	"T59"	786
"609"	"LAP"	"T59"	2
"610"	"LAQ"	"T59"	90
"611"	"LAT"	"T59"	0
"612"	"LCR"	"T59"	4
"613"	"LDE"	"T59"	6
"614"	"LEN"	"T59"	56
"615"	"LHK"	"T59"	22
"616"	"LIAFSR|RequiresSNPConfirmation"	"T59"	113
"617"	"LIN"	"T59"	10
"618"	"LLMA"	"T59"	82
"619"	"LMRA|RequiresSNPConfirmation"	"T59"	490
"620"	"LMRB"	"T59"	18
"621"	"LMRC"	"T59"	984
"622"	"LMRD"	"T59"	36
"623"	"LMRP"	"T59"	4
"624"	"LMRS"	"T59"	0
"625"	"LNUA"	"T59"	84
"626"	"LNUB"	"T59"	2
"627"	"LNUC"	"T59"	90
"628"	"LNUE"	"T59"	0
"629"	"LNUF"	"T59"	18
"630"	"LNUG"	"T59"	0
"631"	"LNUP"	"T59"	0
"632"	"LPDT"	"T59"	676
"633"	"LPEA"	"T59"	2
"634"	"LPEB"	"T59"	0
"635"	"LPSA"	"T59"	0
"636"	"LPSB"	"T59"	2
"637"	"LPTD"	"T59"	313
"638"	"LPXA|RequiresSNPConfirmation"	"T59"	6
"639"	"LPXC|RequiresSNPConfirmation"	"T59"	0
"640"	"LRA"	"T59"	1132
"641"	"LRG"	"T59"	30
"642"	"LSA"	"T59"	75
"643"	"LSAB"	"T59"	31
"644"	"LSAC"	"T59"	16
"645"	"LSAD"	"T59"	8
"646"	"LSAE"	"T59"	7
"647"	"LUS"	"T59"	10
"648"	"LUT"	"T59"	27
"649"	"M1"	"T59"	2
"650"	"MACA"	"T59"	24
"651"	"MACAB|RequiresSNPConfirmation"	"T59"	0
"652"	"MACB"	"T59"	823
"653"	"MAL"	"T59"	2
"654"	"MARA"	"T59"	49
"655"	"MARR"	"T59"	89
"656"	"MCA"	"T59"	0
"657"	"MCO"	"T59"	4
"658"	"MCR"	"T59"	186
"659"	"MCTB"	"T59"	266
"660"	"MDE"	"T59"	0
"661"	"MDEA"	"T59"	194
"662"	"MDFA"	"T59"	273
"663"	"MDR|RequiresSNPConfirmation"	"T59"	22
"664"	"MDR23S|RequiresSNPConfirmation"	"T59"	119
"665"	"MDRL"	"T59"	0
"666"	"MDTA"	"T59"	383
"667"	"MDTB"	"T59"	1375
"668"	"MDTC"	"T59"	1160
"669"	"MDTE"	"T59"	423
"670"	"MDTF"	"T59"	849
"671"	"MDTG"	"T59"	301
"672"	"MDTH"	"T59"	266
"673"	"MDTI"	"T59"	97
"674"	"MDTJ"	"T59"	38
"675"	"MDTK"	"T59"	433
"676"	"MDTM"	"T59"	417
"677"	"MDTN"	"T59"	623
"678"	"MDTO"	"T59"	569
"679"	"MDTP"	"T59"	674
"680"	"MECA"	"T59"	106
"681"	"MECB"	"T59"	4
"682"	"MECC"	"T59"	24
"683"	"MECD"	"T59"	0
"684"	"MECI"	"T59"	18
"685"	"MEFA"	"T59"	14
"686"	"MEFB"	"T59"	10
"687"	"MEFC"	"T59"	4
"688"	"MEFD"	"T59"	0
"689"	"MEFE"	"T59"	185
"690"	"MEFF"	"T59"	0
"691"	"MEFJ"	"T59"	4
"692"	"MENA|RequiresSNPConfirmation"	"T59"	4
"693"	"MEPA"	"T59"	8
"694"	"MEPB"	"T59"	0
"695"	"MEPR"	"T59"	4
"696"	"MERA"	"T59"	1214
"697"	"MERB"	"T59"	60
"698"	"MERC"	"T59"	234
"699"	"MERD"	"T59"	36
"700"	"MERE"	"T59"	90
"701"	"MERF"	"T59"	6
"702"	"MERG"	"T59"	100
"703"	"MERH"	"T59"	204
"704"	"MERP"	"T59"	308
"705"	"MERR"	"T59"	86
"706"	"MERR1"	"T59"	4
"707"	"MERR2"	"T59"	70
"708"	"MERT"	"T59"	185
"709"	"MEXA"	"T59"	124
"710"	"MEXB"	"T59"	688
"711"	"MEXC"	"T59"	251
"712"	"MEXC1"	"T59"	121
"713"	"MEXD"	"T59"	512
"714"	"MEXD1"	"T59"	594
"715"	"MEXE"	"T59"	552
"716"	"MEXF"	"T59"	1453
"717"	"MEXG"	"T59"	104
"718"	"MEXH"	"T59"	412
"719"	"MEXI"	"T59"	830
"720"	"MEXJ"	"T59"	814
"721"	"MEXK"	"T59"	517
"722"	"MEXL"	"T59"	116
"723"	"MEXN"	"T59"	1016
"724"	"MEXQ"	"T59"	1901
"725"	"MEXR"	"T59"	18
"726"	"MEXS|RequiresSNPConfirmation"	"T59"	134
"727"	"MEXT"	"T59"	4
"728"	"MEXT|RequiresSNPConfirmation"	"T59"	222
"729"	"MEXV"	"T59"	208
"730"	"MEXW"	"T59"	602
"731"	"MEXX"	"T59"	552
"732"	"MEXY"	"T59"	883
"733"	"MEXZ|RequiresSNPConfirmation"	"T59"	70
"734"	"MFPA"	"T59"	118
"735"	"MGRA"	"T59"	0
"736"	"MGT"	"T59"	254
"737"	"MGTA"	"T59"	1017
